Course Number,Course Name,L,T,P,C,Name of the Instructors and Tutors,Capacity,Number of Students,Sections,Lecture,Tutorial,Lab,Link To Course Plan,Preferred Knowledge Equivalent to,Remarks,Minor in,HSS/BS elective
ME 362,Introduction to Manufacturing Systems and Metrology ,2,0,1.5,3,Rakesh Singhai(I+L),,,,"E1,E2
(Harsha Patel Learning Theatre)",,"L2
(Harsha Patel Learning Theatre)",https://drive.google.com/file/d/1QdOR1PDptsbmN36xXT0_QJv1PLzdJvZt/view?usp=drive_link,,,,
HS XXX,HSS Elective,,,,,,,,,,,,,,,,
IN 105,Comprehensive Viva Voce,0,0,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
7th Sem | B Tech Mechanical Engineering,,,,,,,,,,,,,,,,,
HS XXX,HSS Elective,,,,,,,,,,,,,,,,
,Basic Science Elective,,,,,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,,,,
IN 107,Comprehensive Viva Voce,0,0,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
5th Sem | B Tech Materials Engineering,,,,,,,,,,,,,,,,,
HS 151,Economics,3,1,0,4,"Deepak Singhania(I),Praharsh Mohanlal Patel(T)",,,,"A1,A2
(Jasubhai Auditorium)","I2
(Jasubhai Auditorium,7/101,7/102,7/103,7/105,7/107,7/110,7/201,7/204,7/205)",,https://drive.google.com/file/d/1rHrc62tPltvkY5TUoBjNl3fV_2tuz-SC/view?usp=sharing,,,,
MSE 313,"Polymers, Ceramics and Composites",3,0,1.5,4,Abhijit Mishra(I+L),,,,"E1,E2
(7/105)",,"K1
(MSE Lab)",https://docs.google.com/document/d/1M2_czf-0yC-0w2R-K1vtllVxyzIcHId4/edit?usp=sharing&ouid=107364619680903589902&rtpof=true&sd=true,,,,
MSE 304,Principles of Metal Extraction and Refining,3,0,0,4,S.P. Mehrotra(I),,,,"J1,J2
(7/105)",,,https://drive.google.com/file/d/1xZjSzDS1fQQqyoQFSIOXvn2yI0ewDclv/view?usp=drive_link,,,,
MSE 317,Materials Processing,2,1,1.5,4,"Emila Panda(I+T+L),Pradipta Ghosh(I+T+L)",,,,"D1,D2
(11/206)",,"I1
(MSE Lab)",https://drive.google.com/file/d/1jxK2NU_AkUNFHAiWbOCLyzjTBDTHdOId/view?usp=sharing,,,,
HS XXX,HSS Elective,,,,,,,,,,,,,,,,
IN 105,Comprehensive Viva Voce,0,0,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
7th Sem | B Tech Materials Engineering,,,,,,,,,,,,,,,,,
HS XXX,HSS Elective,,,,,,,,,,,,,,,,
,Basic Science Elective,,,,,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,,,,
IN 107,Comprehensive Viva Voce,0,0,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Orientation Programme: ALL New Postgraduate Students,,,,,,,,,,,,,,,,,
FP 501,Aarohan (For 2026 MSc and MA students),0,0,0,2,,,,,,,,,,,,
FP 601,"Aarohan (For 2026 MTech, PGDIIT and PhD students)",0,0,0,2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Additional Courses: Physical Education for Postgraduate Students,,,,,,,,,,,,,,,,,
PE 500,Physical Education (MSc and MA students),0,0,0,0,,,,,,,,,,,,
PE 600,Physical Education (MTech and PhD students),0,0,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Viva Voce/ Group Discussion,,,,,,,,,,,,,,,,,
,Comprehensive Viva Voce,0,0,0,0,,,,,,,,,,,,
,Comprehensive Viva Voce,0,0,0,0,,,,,,,,,,,,
,Comprehensive Viva Voce,0,0,0,0,,,,,,,,,,,,
Additional Courses: Biological Engineering																	,,,,,,,,,,,,,,,,,
BE 303,Bionanotechnology – Principles and Applications,3,0,0,4,Mukesh Dhanka(I),,,,"F1,F2
(7/101)",,,BE303- Bionanotechnology - 2026.docx,,,,BS
BE 305,Origins of Species,3,0,0,4,Umashankar Singh(I),,,,"A1,A2
(7/202)",,,https://docs.google.com/document/d/1SFpkWAUK8ODsG94xPAJgJFCiEWPHAWrtxNQlF8dzM6w/edit?usp=sharing,,,,BS
BE 404,Genetic Engineering – Principles and Applications,3,0,0,4,Sharmistha Majumdar(I),,,,"N1,N2
(7/103)",,,https://docs.google.com/document/d/15GwWUey5pU4rAc4TEq35KWSj-XnwYwsiNONk683Kk0s/edit?tab=t.0,,,,BS
BE 614,Biostatistics,1.5,0,3,4,Ashutosh Srivastava(I+L),,,,"H2
(7/201)",,"B1,D1
(10/105)",https://iitgnacin-my.sharepoint.com/:b:/g/personal/ashutosh_s_iitgn_ac_in/IQBZ13B3P_1wRpRGgMCw5CoHAZ-Cq35_exVKj_dljoymkvw?e=4GXHSA,,,,BS
BE 616,Human Physiology,3,0,0,4,Karla Patricia Mercado-Shekhar(I),,,,"E1,E2
(7/106)",,,https://iitgnacin-my.sharepoint.com/:b:/g/personal/karlamshekhar_iitgn_ac_in/IQBW0_CGCHbQSb-PWTzuyEDHAZG1hVjZqWN3Ql9gqoAgQmw?e=CrBXs5,,,,BS
BE 618,Molecular Biotechnology ,1.5,0,3,4,Subramanian Sankaranarayanan(I+L),,,,"G2
(7/101)",,"J1,L1
(BE Lab)",Molecular Biotechnology Course plan 2026.1.docxe,,,,
BE 621,Peptide Technologies ,1.5,0,3,2,Sharad Gupta(I+L),,,,"C1
(13/125)",,"I2,M1
(BE Lab)",https://docs.google.com/document/d/1RJe6_CUgTsUFP3yjiY_ceNMeKX7DjkDn/edit?usp=sharing&ouid=112848911477366873416&rtpof=true&sd=true,,,,
BE 622,Applied Stem Cells Technologies,3,0,0,4,Dhiraj D Bhatia(I),,,,"A1,A2
(7/204)",,,https://docs.google.com/document/d/1KdClKDUCfOw-lyAqLro2DI1JBJnyJZJy/edit?usp=sharing&ouid=114828150794801814953&rtpof=true&sd=true,,,,BS
BE 623,Biocomputing,0,0,3,2,Ashutosh Srivastava(I+L),,,,,,"K2,L2
(10/104)",https://iitgnacin-my.sharepoint.com/:b:/g/personal/ashutosh_s_iitgn_ac_in/IQCHhjucngCCT6TI_rZAlonlAV--s72ddhRjtuOfln0LGSg?e=H9PJWw,,,,
BE 625,AI Applications in Life Sciences,3,0,0,4,"Sharad Gupta(I),Krishna Prasad Miyapuram(I),Ashutosh Srivastava(I)",,,,"G1 (7/101)
D2 (7/110)",,,https://docs.google.com/document/d/1H2KmwC490Oqeg5AVBP0io7QlBxusLcV8ElPygN0uDNw/edit?usp=sharing,,,,
,,,,,,,,,,,,,,,,,
Additional Courses: Civil Engineering																	,,,,,,,,,,,,,,,,,
CE 315,Civil Engineering Materials,3,0,0,4,Krishna Siva Teja Chopperla(I),,,,"H1,K2
(7/209)",,,https://iitgnacin-my.sharepoint.com/:b:/g/personal/siva_chopperla_iitgn_ac_in/IQBg5Fv7TOB3RoqYHpULkmhHAaB-hEx0eqmwldaQOv5HHOA?e=aS00qS,,,,
CE 316,Integrated Waste Management and Circular Economy,3,0,0,4,Abhishek Singhal(I),,,,"I1,I2
(Harsha Patel Learning Theatre)",,,https://drive.google.com/file/d/1YQfG-UtElN34CoR0vNtSXkS1qgUx5H_E/view?usp=sharing,,,,
CE 624,River Engineering,3,0,0,4,Subhasish Dey(I),,,,"G1,G2
(7/204)",,,https://docs.google.com/document/d/1qTdZyUilgbww7hzate9tt6ZaH0--F9EU/edit?usp=share_link&ouid=108119040002855153213&rtpof=true&sd=true,,,,
CE 642,Integrated Waste Management and Circular Economy,3,0,0,4,Abhishek Singhal(I),,,,"I1,I2
(Harsha Patel Learning Theatre)",,,https://drive.google.com/file/d/1YQfG-UtElN34CoR0vNtSXkS1qgUx5H_E/view?usp=sharing,,,,
CE 601,Advanced Geotechnical Engineering,3,0,3,5,Ajanta Sachan(I+L),,,,"K1,L1
(7/209)",,"J2,M2
(CE Lab)",https://drive.google.com/file/d/15EDs7YadcMzV4KebgXY2DBdOmrcOTEPz/view?usp=sharing,,,,
CE 607,Advanced Structural Analysis,3,0,0,4,Dhiman Basu(I),,,,"E1,E2
(7/203)",,,https://drive.google.com/file/d/1kOvzUt1FieyqdRYqaa8oVSfExmmy8OQx/view?usp=drive_link,,,,
CE 611,Advanced Engineering Hydrology,3,0,0,4,Sharad Kumar Jain(I),,,,"D1,D2
(13/124)",,,https://drive.google.com/file/d/1eddwsTa3pqb81UtXGtZeqz_mXFVm5dAv/view?usp=drive_link,,,,
ES 621,Advanced Solid Mechanics,3,0,0,4,Harmeet Singh(I),,,,"D1,D2
(7/102)",,,https://drive.google.com/file/d/1XNr-Oi82lDzPpks_PhR0rTZsAXJ6HG16/view?usp=sharing,,,,
CE 622,Structural Dynamics,3,0,0,4,Srinivasan Chandrasekaran(I),,,,"A1,A2
(7/210)",,,https://drive.google.com/file/d/1lUtcRc2vynlp1RQ4TWaZsDmfgJH3Ltmn/view?usp=sharing,,,,
CE 625,Advanced Hydraulic Engineering,3,0,0,4,Pranab Kumar Mohapatra(I),,,,"E1,E2
(7/207)",,,https://docs.google.com/document/d/1pnO96PW1H3QDTf6iPCMKdGZOlie8xKWe/edit?usp=share_link&ouid=108119040002855153213&rtpof=true&sd=true,,,,
CE 627,Slopes and Retaining Structures,3,0,0,2,S.R.Gandhi(I),,,,"C1,C2
(11/204)",,,https://drive.google.com/file/d/1n5WN24Xv9TUKSsGi1JoyonGbcNsa-3OT/view?usp=sharing,,,,
CE 634,Air Pollution Control Engineering,3,0,0,4,Sameer Patel(I),,,,"J1,J2
(7/209)",,,https://docs.google.com/document/u/0/d/1JfSM1UIeB0lVIy1H2fl5hIxwvACF4L20Rx4NDbgEYeE/edit,,,,
CE 635,Pavement Materials and Design,3,0,0,4,Sushobhan Sen(I),,,,"C1,C2
(7/205)",,,https://iitgnacin-my.sharepoint.com/:w:/g/personal/sushobhan_sen_iitgn_ac_in/IQDrJ2qKk9n6Qpuvbo2hevsUATZae92mtChU5iOJg6WNA-g?e=2xVP6m,,,,
CE 637,Infrastructure Systems: Planning and Management,3,0,0,4,Udit Bhatia(I),,,,"E1,E2
(7/209)",,,https://infra2026.floodresq.com/,,,,
CE 638,Advanced Concrete Technology,3,0,0,4,Krishna Siva Teja Chopperla(I),,,,"C1,C2
(7/202)",,,https://iitgnacin-my.sharepoint.com/:b:/g/personal/siva_chopperla_iitgn_ac_in/IQDViUd4Rm2jQ5lweXtnY_YbAVSy0yPJ510k8dxXX30yl7U?e=Pp67wQ,,,,
CE 640,Hydrodynamics of Sediment Transport,3,0,0,4,Subhasish Dey(I),,,,"M1,M2
(7/109)",,,https://docs.google.com/document/d/1qTdZyUilgbww7hzate9tt6ZaH0--F9EU/edit?usp=share_link&ouid=108119040002855153213&rtpof=true&sd=true,,,,
CE 691-VI,Special Topics in Civil Engineering: Domestic Wastewater Engineering (Treatment and Reuse),3,0,0,4,Sudhir Kumar Arora(I),,,,"G1,G2
(7/203)",,,https://drive.google.com/file/d/1m24H1akjtw4YoNfSIiM1g3hL2__gmo7_/view?usp=share_link,,,,
CE 691-VIII,Special Topics in Civil Engineering: Administration of Contracts in the Infrastructure Industry,3,0,0,4,Col. Kishore(I),,,,"M1,M2
(13/124)",,,,,,,
CE 692-II,Special Topics in Civil Engineering: Water Resources Governance,3,0,0,2,JP Gupta(I),,,,"J1,J2
(7/202)",,,,,,,
,,,,,,,,,,,,,,,,,
Additional Courses: Chemical Engineering																	,,,,,,,,,,,,,,,,,
CL 324,Introduction to Polymer Science and Engineering,3,0,0,4,,,,,,,,,,,,
CL 328,Chemical Engineering Practice in Industry,1.5,0,0,2,"Kaustubh S Rane(I),Nitin U. Padhiyar(I)",,,,"P2
(11/102)",,,https://docs.google.com/document/d/1g8VwMdGr4GJs4OrtHfvexQ7OPDqeKNi2_Bwb6UF5_as/edit?usp=sharing,,,,
CL 353,Introduction to Process Safety,1.5,0,0,2,Chinmay Ghoroi(I),,,,"B1
(Harsha Patel Learning Theatre)",,,https://drive.google.com/file/d/1gXcTIl0AlmADSeC97bjMX01ZlmieXWpZ/view?usp=sharing,,,,
CL 426,Biochemical Engineering,3,0,0,4,Karthik Subramaniam Pushpavanam(I),,,,"F1,F2
(7/106)",,,https://docs.google.com/document/d/1PqQww0FlEJEQ0chpHXA6tsFJVShBJPITN4p9Z82UkIc/edit?usp=sharing,,,,
BS 401,Nanoscale Science,3,0,0,4,Kabeer Jasuja(I),,,,"M1,M2
(7/203)",,,,,,,BS
CL 601,Advance Transport Phenomena,3,1,0,4,Prachi Thareja(I+T),,,,"E1,E2
(7/108)","K2
(7/204)",,https://drive.google.com/file/d/1eYw8sozYjzRmZ0wUwYL-Ca9HpLZ4qeRp/view?usp=sharing,,,,
CL 602,Advanced Thermodynamics,3,1,0,4,Soumajit Dutta(I+T),,,,"A1,A2
(7/203)","L2
(7/203)",,CL 602 Advanced Thermodynamics,,,,
CL 604,Advanced Reaction Engineering,3,1,0,4,Chinmay Ghoroi(I+T),,,,"C1,C2
(7/107)","H2
(7/107)",,https://drive.google.com/file/d/1Hxq7jeAoGyel9zhLaBWEhzUfxIQtons9/view?usp=sharing,,,,
CL 633,Applications of AI in ChE,3,1,0,4,Nitin U. Padhiyar(I+T),,,,"H1,N2
(7/108)","J2
(7/109)",,https://docs.google.com/spreadsheets/d/1Zx1kEtyE5g7EDXIoiRjVp6-v9PuVhmZDzdBRDxTgGwI/edit?gid=1235957912#gid=1235957912,,,,
CL 635,Integrated Principles of Chemical Engineering,3,0,0,4,Sameer Dalvi(I),,,,"J1,K1
(7/208)",,,https://drive.google.com/file/d/14C51K9oT5CQ8s8oH6Zaq8-q_Wn_Jkg9p/view?usp=drive_link,,,,
ES 604,Engineering Optimization,3,0,0,4,Sai Praneeth(I),,,,"G1,G2
(7/208)",,,https://docs.google.com/document/d/1nAYf1QY6j7JGH7Lw7UwwHY31w_nIMNQU/edit?usp=drive_link&ouid=102748482566191991041&rtpof=true&sd=true,,,,
ES 662,"Flexible Electronics: Materials, Methods and Devices",3,0,0,4,Biswajit Saha(I),,,,"I1,I2
(7/203)",,,https://iitgnacin-my.sharepoint.com/:w:/g/personal/bsaha_iitgn_ac_in/IQAgc6De535kTI5BHvkyh-otASKy5pbIjDA1L5r_GBQxboI?e=Qyd2Li,,,,
,,,,,,,,,,,,,,,,,
Additional Courses: Computer Science and Engineering																	,,,,,,,,,,,,,,,,,
ES 248,Introduction to Data Structures and Algorithms,1.5,0,3,3,"Anup Kalbalia(I+L),Arjun Arul(I+L)",,,,"F1
(11/101)",,"K2,L2
(10/203)",https://anup.github.io/courses/es248-2026-27/course-plan/,,,,
CS 435,Human-Computer Interaction,3,0,0,4,Yogesh Kumar Meena(I),,,,"J1,P2
(11/101)",,,https://yogeshkmeena.github.io/Teaching/,,,,
CS 437,AI-Assisted Software Development Lab,0,0,3,2,"Arjun Arul(L),Anup Kalbalia(L)",,,,,,"P1,F2
(10/203)",https://docs.google.com/document/d/15bylbWLm5ylzU4_RrZUUwUBbkBrQozCJfZginxrwfns/edit?usp=drivesdk,,,,
CS 610,Algorithms,3,0,0,4,Bireswar Das(I),,,,"G1,G2
(7/109)",,,https://docs.google.com/document/d/1FR3B1uaVfesy6V3M3JLivJlmD_H8Jhda9_e9nz81e3o/edit?usp=sharing,,,,
CS 612,Computer Systems,3,0,0,4,Ajay Singh(I),,,,"A1,A2
(11/101)",,,https://docs.google.com/document/d/1rkO3HupBKTxuW4P_bS8WdPuI2Rz5UiSf/edit?usp=sharing&ouid=110990247842517328873&rtpof=true&sd=true,,,,
CS 613,Natural Language Processing,3,0,0,4,Mayank Singh(I),,,,"F1,F2
(Jayshree S Sheth Learning Theatre)",,,https://sites.google.com/iitgn.ac.in/cs613-2026/home,,,,
CS 614,Advanced Algorithms,3,0,0,4,Arjun Arul(I),,,,"E1,E2
(11/102)",,,,,,,
CS 619,CS Theory Toolkit,3,0,0,4,Anirban Dasgupta(I),,,,"L1,L2
(13/124)",,,https://docs.google.com/document/d/1DHyg6VoBb9hcpkJw1rTl6zxPpNmRReedm6YgFTSNZHA/edit?usp=drivesdk,,,,
CS 620,Incentives and Machine learning ,3,0,0,4,Manisha Padala(I),,,,"K1,K2
(13/124)",,,https://sites.google.com/iitgn.ac.in/mdml,,,,
ES 666,Computer Vision,3,0,0,4,Shanmuganathan Raman(I),,,,"C1,C2
(10/103)",,,https://shanmugaiit.github.io/es666.html,,,,
ES 667,Deep Learning,3,0,0,4,Nipun Batra(I),,,,"B1,B2
(Jayshree S Sheth Learning Theatre)",,,https://nipunbatra.github.io/dl-2026/,,,,
CS 691-XVII,Special Topics in Computer Science: Combinatorial and Computational Aspects of Games,3,0,0,4,,,,,,,,https://docs.google.com/document/d/1NwZcqAiXIz6zMqx6aSI6GIDphK3G_qe0nJbwQNMuMlg/edit?usp=sharing,,,,
CS 622,Combinatorial Game Theory,3,0,0,4,Jyothi Krishnan(I),,,,"L1,L2
(7/207)",,,https://docs.google.com/document/d/1NwZcqAiXIz6zMqx6aSI6GIDphK3G_qe0nJbwQNMuMlg/edit?usp=sharing,,,,
CS 691-XVIII,Special Topics Course: Algebraic Complexity theory,3,0,0,4,Balagopal Komarath(I),,,,"M1,M2
(7/207)",,,https://docs.google.com/document/d/1nYN-fgB5Oj6rbCghhdHXxppzpFyNDMxZyOYkfKkyco8/edit?usp=sharing,,,,
CS 623,Algebraic Complexity Theory,3,0,0,4,Balagopal Komarath(I),,,,"M1,M2
(7/207)",,,https://docs.google.com/document/d/1b7CuCo9So4LxVda_Ioj7ZwX2Cmp4OfgTbDPLoF6c7Vc/edit?usp=sharing,,,,
,,,,,,,,,,,,,,,,,
Additional Courses: Maritime Engineering                                                                                                                                        ,,,,,,,,,,,,,,,,,
EH 304,"Drone Data Acquisition, Processing and Interpretation",1,0,2,2,Pankaj Khanna(I+L),,,,"G1
(7/104)",,"C1,F1
(10/105)",https://drive.google.com/file/d/1EVIPMOmf589bW-HklmVUpH_JP6goTpms/view?usp=sharing,,,,
MTE 602,Analysis and Design of Marine Structures,3,0,0,4,Srinivasan Chandrasekaran(I),,,,"B1 (7/106)
C2 (7/105)",,,https://drive.google.com/file/d/1OAtYYjx6Cbc0S6dNG-uteILeZCmmciNt/view?usp=sharing,,,,
MTE 603,Dynamics of Maritime Structures,3,0,0,4,Srinivasan Chandrasekaran(I),,,,"D1,D2
(7/103)",,,https://drive.google.com/file/d/1OdMX220ZYxx2DT3l-z8u--TYML-YPoXu/view?usp=sharing,,,,
MTE 692-I,Special Topics in Maritime Engineering: French Language for Maritime Engineers (second half),3,0,0,2,Manshika Mehta(I),,,,"G1,G2
(7/110)",,,,,,,
,,,,,,,,,,,,,,,,,
Additional Courses: Electrical Engineering																	,,,,,,,,,,,,,,,,,
ES 420,Industrial Control and Process Instrumentation,3,0,3,5,S. Rajendran(I+L),15,,,"N1,N2
(11/204)",,"C1,F1
(EE Lab)",https://drive.google.com/file/d/1ooqgeSKLfi0I5id5GgIGuXTesmrAy6SB/view?usp=drive_link,,,,
ES 422,Semiconductor Foundry Engineering,3,0,0,4,Amitabh Jain(I),25,,,"H1,P1
(7/210)",,,https://docs.google.com/document/d/1qLH1z9ybBSNzYMs4KxO9LruQgvLNv4yHN-urNCqHunQ/edit?tab=t.0,,,,
ES 421,RFIC Design,3,0,3,5,"Kamla Prasan Ray(I),Tarun Kumar Agarwal(L)",25,,,"N2,P2
(13/125)",,"B1,D1
(EE Lab)",https://docs.google.com/document/d/184bxetlzX-eSL8kSFU4ea17kSGH1MUei/edit?usp=sharing&ouid=106706293449739761250&rtpof=true&sd=true,,,,
ES 679,RFIC Design,3,0,3,5,"Kamla Prasan Ray(I),Tarun Kumar Agarwal(L)",25,,,"N2,P2
(13/125)",,"B1,D1
(EE Lab)",https://docs.google.com/document/d/184bxetlzX-eSL8kSFU4ea17kSGH1MUei/edit?usp=sharing&ouid=106706293449739761250&rtpof=true&sd=true,,,,
EE 617,VLSI Design,3,0,0,4,Joycee Mekie(I),,,,"D1,D2
(Surendra C Sheth Learning Theatre)",,,https://docs.google.com/document/d/1Yd1UWR5dlTjHVpQrEvGT5XebozcdRpaulQbP5kYYbHE/edit?usp=sharing,,,,
EE 644,Physics of Transistors,3,0,0,4,Sandip Lashkare(I),,,,"E2,H2
(11/101)",,,https://iitgnacin-my.sharepoint.com/:b:/g/personal/sandip_lashkare_iitgn_ac_in/IQCB5CYF5hrKQKJrK0ATpMB3AcSsNovmoEeK0Ns31IyTy9I?e=Y2hwtF,,,,
EE 648,Dynamic Behaviour of Electric Machines,3,0,1.5,5,Ragavan K.(I+L),,,,"C1,A2
(11/102)",,"I2
(EE Lab)",https://drive.google.com/file/d/127It-hnkS17e9gmGGFruDWSYVQAST0dI/view?usp=sharing,,,,
EE 434,Wireless System Design and Implementation,1.5,0,3,4,Kartik Patel(I+L),15,,,"K2
(7/102)",,"A1,A2
(EE Lab)",https://drive.google.com/file/d/1A7Y_yRGU1g_bR2CpjokWzduK3JfUDvqd/view?usp=sharing,,,,
EE 671,Wireless System Design and Implementation,1.5,0,3,4,Kartik Patel(I+L),15,,,"K2
(7/102)",,"A1,A2
(EE Lab)",https://drive.google.com/file/d/1A7Y_yRGU1g_bR2CpjokWzduK3JfUDvqd/view?usp=sharing,,,,
ES 616,Digital Control Systems,3,1,0,4,S. Rajendran(I+T),,,,"E1,E2
(7/210)","A1
(7/110)",,https://drive.google.com/file/d/1kRe1j1mw-ScS4GBQWbrLvWI20zkrSgTn/view?usp=drive_link,,,,
ES 626,Microfabrication and Semiconductor Processes,3,0,0,4,"Jhuma Saha(I),Nihar Ranjan Mohapatra(I)",,,,"N1,N2
(7/101)",,,https://drive.google.com/file/d/1Ds3tjD8J9P_u1d_fQIZXHB36gVibP0kR/view?usp=sharing,,,,
EE 651,CMOS Analog IC Design,3,0,0,4,Tarun Kumar Agarwal(I),,,,"G1,G2
(Harsha Patel Learning Theatre)",,,https://iitgnacin-my.sharepoint.com/:w:/g/personal/tagarwal_iitgn_ac_in/IQCadTuRO8shQbhNg-T2PUD8AYMVUXYaj3L8gp9UubMIApI?e=mjdx8r,,,,
ES 657,Biomedical Ultrasound,3,0,0,4,Himanshu Shekhar(I),,,,"J1,J2
(7/210)",,,https://docs.google.com/document/d/1tot22WpkJgil8EiVmg-bHWgO91IhTxqA/edit,,,,
EE 659,Smart Grid,3,0,0,4,Naran M Pindoriya(I),,,,"G1,G2
(13/124)",,,https://iitgnacin-my.sharepoint.com/my?viewid=6042c341%2Df4a0%2D46e5%2Dad56%2Df00a0c67943a&id=%2Fpersonal%2Fnaran%5Fiitgn%5Fac%5Fin%2FDocuments%2FEE%20659%2F2026%2D27%2FEE659%5FCourse%20plan%2Epdf&parent=%2Fpersonal%2Fnaran%5Fiitgn%5Fac%5Fin%2FDocuments%2FEE%20659%2F2026%2D27,,,,
EE 663,Advanced Wireless Communications,3,0,0,4,Raghunandan M. Rao(I),,,,"L1,L2
(13/125)",,,https://drive.google.com/file/d/11d-SSfPQzcT00qfeREE1ifwatDs1Hfjp/view?usp=sharing,,,,
EE 664,High Frequency Engineering,3,0,0,4,Kamla Prasan Ray(I),,,,"K1,K2
(13/125)",,,https://drive.google.com/file/d/1WnwJOuz0Vg-VBbhxqZmWkBHW4vP5auvc/view?usp=drive_link,,,,BS
ES 666,Computer Vision,3,0,0,4,Shanmuganathan Raman(I),,,,"C1,C2
(10/103)",,,https://shanmugaiit.github.io/es666.html,,,,
ES 668,5G and Beyond,3,0,0,4,"Ravi Hegde(I), Sameer Kulkarni(I)",,,,"M1,M2
(11/101)",,,https://docs.google.com/document/d/198eel1egMa8j4mvsq2Fbj9riGMKX8FGSA9CUFXo3Ryg/edit?tab=t.0,,,,
ES 675,Photonics – Principles and Applications,3,0,0,4,Arup Lal Chakraborty(I),,,,"M1,M2
(7/108)",,,,,,,
EE 639,Lasers,3,0,0,4,Arup Lal Chakraborty(I),,,,"M1,M2
(7/108)",,,https://drive.google.com/file/d/11kOhmKlYwzT9pbkIYjetqbMJ7ReieJYd/view?usp=sharing,,,,
EE 662,Mixed Signal IC Design,3,0,0,4,"Dinesh Kumar Sharma(I),Madhav Kiritkumar Pathak(I)",,,,"N1,N2
(7/105)",,,https://drive.google.com/file/d/1QIglxCIBklfk_YG76WoFAg95wD9MizuS/view?usp=sharing,,,,
EE 691-VII,Special Topics in Electrical Engineering: Economics of Regulation in India,3,0,0,4,Anand Kumar(I),,,,"M1,M2
(7/208)",,,https://iitgnacin-my.sharepoint.com/:w:/g/personal/anand_kumar_iitgn_ac_in/IQAWliKVcuo0Q6zXoh7HP7Y4AdGb1lbdh_KX2yAZ977U1Xs?e=5LD9sz,,,,
,,,,,,,,,,,,,,,,,
Additional Courses: Mechanical Engineering																	,,,,,,,,,,,,,,,,,
ME 491-I,Special Topics in Mechanical Engineering: Nondestructive Testing/Evaluation,3,0,0,4,Prabhat Munshi(I),,,,"M1,M2
(7/106)",,,,,,,
ES 607,Foundations of Fluid Dynamics,3,1,0,4,Vinod Narayanan(I+T),,,,"G1,G2
(7/105)","C1
(7/210)",,https://docs.google.com/document/d/1mI6e6RxvTV2k4-98f-4_qdW_7Fh46uZ3/edit?usp=sharing&ouid=100579235848488623714&rtpof=true&sd=true,,,,
ME 605,Computational Fluid Dynamics,3,1.5,0,4,Uddipta Ghosh(I+T),,,,"M1,M2
(5/202)","K1
(7/109)",,https://iitgnacin-my.sharepoint.com/:b:/g/personal/uddipta_ghosh_iitgn_ac_in/IQDHRaXgkGFQSqGRCL61mRekAR3De8my13tc6iX_izzIAwY?e=g4nBZg,,,,
ES 656,Human-Robot Interaction,3,0,0,4,Vineet Vashista(I),,,,"L1,L2
(7/201)",,,https://drive.google.com/file/d/1cfkjeuITM2BsI-oMOnxtCMuwbTSMZ1S9/view?usp=drive_link,,,,
ES 621,Advanced Solid Mechanics,3,0,0,4,Harmeet Singh(I),,,,"D1,D2
(7/102)",,,https://drive.google.com/file/d/1XNr-Oi82lDzPpks_PhR0rTZsAXJ6HG16/view?usp=sharing,,,,
ME 639,Introduction to Robotics,3,0,1.5,5,Madhu Vadali(I+L),,,,"N1,N2
(7/205)",,"L1
(7/205)",https://iitgnacin-my.sharepoint.com/:b:/g/personal/madhu_vadali_iitgn_ac_in/IQC9ymiMm8dVS7KpdWlGStocAdwKQDGP1DUC9SZ6C8jhwlU?e=NRdcCQ,,,,
ME 640,Fracture Mechanics,3,0,0,4,Ravi Sastri Ayyagari(I),,,,"E1,E2
(7/110)",,,https://drive.google.com/file/d/1AQbdPLaTMj1zKOlBv1H2y-IqJ9UQi4rC/view?usp=sharing,,,,
ES 646,Elastodynamics and Vibrations,3,0,0,4,K.R. Jayaprakash(I),,,,"E1,E2
(13/125)",,,https://drive.google.com/file/d/14rF9TMdXs3fYRxXqjwzPkEtkSlkFcLdB/view?usp=drive_link,,,,
ME 648,Mathematical Tools for Mechanical Engineers,3,1,0,4,Dilip S. Sundaram(I+T),,,,"F1,F2
(7/206)","H2
(7/210)",,https://iitgnacin-my.sharepoint.com/:b:/g/personal/dilip_sundaram_iitgn_ac_in/IQBXL505VMDwSaO0sftttq6jAbZC81_dVdDHtziLBQe7pLg?e=SrWp0z,,,,
ME 691-XXII,Special Topics in Mechanical Engineering: Fluid Dynamics at Small Scales,3,1.5,0,4,Lokesh Malik(I+T),,,,"J1,J2
(11/204)","A2
(11/204)",,,,,,
ME 691-XXIII,Special Topics in Mechanical Engineering: Foundations of Heat and Mass Transfer,3,1.5,0,4,Soumyadip Sett(I+T),,,,"L1,L2
(11/204)","P2
(11/204)",,https://drive.google.com/file/d/1rFIqcfRGHVxdP6_ftkE9cYxljbX6dTou/view?usp=sharing,,,,
