Course Number,Course Name,L,T,P,C,Name of the Instructors and Tutors,Capacity,Number of Students,Sections,Lecture,Tutorial,Lab,Link To Course Plan,Preferred Knowledge Equivalent to,Remarks,Minor in,HSS/BS elective
HS 221,Introduction to Philosophy,3,0,0,4,Jaison Manjaly(I),,,,"N1,N2
(Jasubhai Auditorium)",,,https://drive.google.com/file/d/1C_aSRcOgmMaYgNqDZ25tHxIaxROsqYbs/view?usp=sharing,,,,
PH 202,Introduction to Quantum Physics,3,1,0,4,"Vinod Chandra(I),Pinaki Banerjee(I+T)",,,,"B1,B2
(7/206)","H2
(13/125,11/204)",,https://docs.google.com/document/d/10dlmKTP0Zsw8Y7GcksIkvv5eutvzJIZ6M5hMXAdavfA/edit?tab=t.0,,,,
PH 203,Solid State Physics,3,1,0,4,Krista Roluahpuia Khiangte(I+T),,,,"M1,M2
(7/110)","J1
(7/205)",,https://drive.google.com/file/d/1h15mPACk6bZmE9_SCLzfLC9SosBx1GV6/view?usp=sharing,,,,
ES 118,Materials for the Future,1.5,0,1.5,3,Amit Arora(I+L),,,,"C1
(Jagdish Patel Learning Theatre)",,"C2
(CL Lab)",,,,,
ES 204,Digital Systems,2,1,1.5,4,"Manu Awasthi(I+T+L),Sameer G Kulkarni(T),Manoj D Gupta(T),Bireswar Das(T),Adithya Kumar(T)",,,,"E1,E2
(10/103)","L1
(10/103,7/108,7/109,7/208,11/101,11/102)","K1
(10/103)",https://docs.google.com/document/d/1YzKcgnXZk4eu9vOeKHLpzrJ94jubBlcV22u_bQ0ZDl8/edit?tab=t.0,,,,
ES 243,Biology for Engineers,3,1,0,4,TBD(I+T),,,,,,,,,,,
MSE 206,Physics of Materials,3,0,0,4,Satyakam Kar(I),,,,"D1,D2
(7/105)",,,https://drive.google.com/file/d/1wlhoqLmSwB3f0XdJkLx795UjMHH9gAUK/view?usp=drive_link,,,,
MSE 314,Materials Selection and Design,3,0,0,3,Superb Misra(I),150,,,"C2 (Jasubhai Auditorium)
I2 (Jagdish Patel Learning Theatre)",,,https://docs.google.com/document/d/1VqVk8K1u7VIGWlCTpTpTFixXZDebuhyD/edit?usp=sharing&ouid=106596940959370216293&rtpof=true&sd=true,,,,
MSE 318,Introduction to Quantum Materials and Devices,3,0,0,3,Anagh Bhaumik(I),150,,,"C1 (Jasubhai Auditorium)
I2 (Jayshree S Sheth Learning Theatre)",,,Course Plan_MSE 318.pdf,,,,
MSE 319,Additive Manufacturing and 3D Printing of Materials,3,0,0,3,Avinash Hariharan(I),150,,,"C1,I2
(Surendra C Sheth Learning Theatre)",,,https://drive.google.com/file/d/1V61-VyU7WqPjguMoE7KRr4hUyhzRKG7W/view?usp=drive_link,,,,
MSE 317,Materials Processing,2,1,1.5,4,"Emila Panda(I+T+L),Pradipta Ghosh(I+T+L)",,,,,,,,,,,
